Date received,Product,Sub-product,Issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID,Count
6/15/15,Student loan,Non-federal student loan,Can't repay my loan,,Company chooses not to provide a public response,Wells Fargo,CA,90403,Web,6/18/15,Closed with explanation,Yes,,1424355,1
6/15/15,Student loan,Non-federal student loan,Can't repay my loan,,,ACS Education Services,MA,021XX,Web,6/30/15,Closed with explanation,Yes,,1422090,1
6/15/15,Student loan,Non-federal student loan,Can't repay my loan,,,AES/PHEAA,IL,622XX,Web,6/17/15,Closed with explanation,Yes,Yes,1424741,1
6/15/15,Student loan,Non-federal student loan,Can't repay my loan,,Company believes it acted appropriately as authorized by contract or law,"Solomon and Solomon, P.C.",CT,6483,Web,6/18/15,Closed with explanation,Yes,Yes,1422131,1
6/15/15,Student loan,Non-federal student loan,Can't repay my loan,"wells Fargo has denied my application for a cheaper payment, citing my cosigners income as the reason. My cosigner is actually in dire straits himself and is in the process of filing chapter XXXX. I ca n't keep making the payments they want ( 35 % of monthly income ), I do n't have the money to pay what 's past due, I ca n't adjust the payment amount and I ca n't ask my cosigne for money. I have no options and it terrifies me ",Company chooses not to provide a public response,Wells Fargo,VA,223XX,Web,6/15/15,Closed with explanation,Yes,,1422003,1
6/14/15,Student loan,Non-federal student loan,Can't repay my loan,,,Navient,NY,10603,Web,6/14/15,Closed with explanation,Yes,,1420509,1
6/12/15,Student loan,Non-federal student loan,Can't repay my loan,,,Navient,OH,43229,Web,6/12/15,Closed with explanation,Yes,,1418494,1
6/12/15,Student loan,Non-federal student loan,Can't repay my loan,,,Navient,IL,622XX,Web,6/12/15,Closed with explanation,Yes,,1419431,1
6/11/15,Student loan,Non-federal student loan,Can't repay my loan,,,"SIMM Associates, Inc.",MD,209XX,Web,6/16/15,Closed with explanation,Yes,,1416380,1
6/11/15,Student loan,Non-federal student loan,Can't repay my loan,I asked for some deferment or forbearance for my private student loans while I am serving in the XXXX XXXX but they say they can not defer for more than 6 months. ,Company chooses not to provide a public response,Wells Fargo,NY,118XX,Web,6/11/15,Closed with explanation,Yes,,1416717,1
6/11/15,Student loan,Non-federal student loan,Can't repay my loan,,,Navient,CA,90403,Web,6/12/15,Closed with explanation,Yes,,1419602,1
6/11/15,Student loan,Non-federal student loan,Can't repay my loan,,Company believes complaint caused principally by actions of third party outside the control or direction of the company,Genesis Lending,AL,35405,Web,6/11/15,Closed with explanation,Yes,,1416444,1
6/11/15,Student loan,Non-federal student loan,Can't repay my loan,"Graduated XX/XX/XXXX from XXXX University ( XXXX, CT ) I have XXXX private student loans with Wells Fargo for a combined monthly payment of {$920.00}. Total balance of the Wells Fargo loan as of XX/XX/XXXX is {$82000.00} and rising because of late fees and more interest. Immediately after graduation I took the XXXX job that came starting at $ XXXX. ( $ XXXX. ). Continued to apply weekly to jobs hoping to get something in my field or at least make more money. Put aside as much as possible in preparation for the loan repayments to begin. Discussed payment options XX/XX/XXXX with Wells Fargo before the grace period ended and I would start to repay the loan. I was told that I could apply for consolidation and refinance 30 days before the XXXX payment is due. The month of XX/XX/XXXX I applied for the consolidation & refinance with Wells Fargo. I was denied because of my salary and my parents ( who are co-signers for my Wells Fargo loan ) were also denied. XX/XX/XXXX loan repayment was to begin. Bill was sent for the total monthly amount of both loans {$920.00}. I did not have the full amount to pay, so at the time when I was making $ XXXX I sent them all that I could. We called Wells Fargo and they said that there was nothing they could do since we did not qualify for consolidation that I must pay the full {$920.00} or I will be in default. In XX/XX/XXXX started a job at $ XXXX. ( $ XXXX. ), but I still ca n't pay the full {$920.00}, so I am now paying the full {$350.00} for the XXXX loan and paying a portion of the XXXX loan, which I can afford $ XXXX {$200.00}. Since XX/XX/XXXX Wells Fargo has continuously called my cell, my parents ' cells and my home phone. As of today ( XX/XX/XXXX ) Wells Fargo started a new tactic. They called my company 's work phone, which could make me an undesirable employee and an unemployed person who would no longer be able to continue paying what I am currently sending. XXXX of the many calls that my father answered he explained that no one asked for any expenses, they just looked at the salaries of my parents. All the requested documents were sent and then denied. I do n't understand why Wells Fargo would rather continue the harassing phone calls to collect the full {$920.00}, instead of working with me to reach a reasonable monthly payment, which by now they should be painfully aware that this is all I have to send them. I have not missed a due date and I continue to send them the amount I previously stated. Even though I am sending only a portion, I do intend to pay in full my loan responsibility with some reasonable assistance from Wells Fargo. For being out of school a little over a year, my credit is ruined. And now my parents ' credit score is affected because of this default situation, too. We have continuously and exhaustively spoken to Wells Fargo for 7 months and they have made no effort to alter their demands for full payment. The couple of times that someone has pointed us in a direction of a department that may be able to help, has only resulted in an immediate rejection and with a  sorry but there is nothing we can do ''. We did receive a letter where they stated  we have tried to work with you ''. They have done everything but. If you consider constant harassing phone calls working with us, then we have a different definition of the term  working with you ''. This is beyond frustrating and hopeless. We are not deadbeats. I absolutely want to pay every penny that I owe. I am not asking for Forgiveness for the loan, but a monthly payment that I can afford with the goal to get out of being in default so I can have a modicum of some future at XXXX years old. ",Company chooses not to provide a public response,Wells Fargo,NH,030XX,Web,6/11/15,Closed with explanation,Yes,,1417607,1
6/10/15,Student loan,Non-federal student loan,Can't repay my loan,,Company chooses not to provide a public response,Wells Fargo,WA,98236,Referral,6/15/15,Closed with explanation,Yes,,1414393,1
6/10/15,Student loan,Non-federal student loan,Can't repay my loan,,,Navient,TN,371XX,Web,6/10/15,Closed with explanation,Yes,Yes,1414163,1
6/10/15,Student loan,Non-federal student loan,Can't repay my loan,,Company chooses not to provide a public response,"Financial Asset Management Systems, Inc.",NY,12919,Web,6/22/15,Closed with explanation,Yes,,1415440,1
6/10/15,Student loan,Non-federal student loan,Can't repay my loan,,,AES/PHEAA,NC,27834,Web,6/10/15,Closed with explanation,Yes,,1415752,1
6/10/15,Student loan,Non-federal student loan,Can't repay my loan,,,Lazega & Johanson LLC,GA,300XX,Web,6/12/15,Closed with explanation,Yes,,1414372,1
6/10/15,Student loan,Non-federal student loan,Can't repay my loan,,,Navient,VA,223XX,Web,6/15/15,Closed with explanation,Yes,,1414015,1
6/9/15,Student loan,Non-federal student loan,Can't repay my loan,,,Navient,CA,945XX,Web,6/9/15,Closed with explanation,Yes,,1413306,1
6/9/15,Student loan,Non-federal student loan,Can't repay my loan,,,KeyBank NA,NH,3745,Referral,6/11/15,Closed with explanation,Yes,,1412623,1
6/9/15,Student loan,Non-federal student loan,Can't repay my loan,,,Transworld Systems Inc.,OH,43008,Web,6/12/15,Closed with explanation,Yes,,1412639,1
6/9/15,Student loan,Non-federal student loan,Can't repay my loan,,,Loan To Learn,NY,11229,Web,6/9/15,Closed with explanation,Yes,Yes,1412113,1
6/9/15,Student loan,Non-federal student loan,Can't repay my loan,,,KeyBank NA,CO,800XX,Web,6/9/15,Closed with explanation,Yes,,1412968,1
6/8/15,Student loan,Non-federal student loan,Can't repay my loan,,,Discover,OR,97232,Web,6/8/15,Closed with explanation,Yes,,1410394,1
6/8/15,Student loan,Non-federal student loan,Can't repay my loan,,,Navient,NJ,070XX,Web,6/8/15,Closed with explanation,Yes,,1410881,1
6/8/15,Student loan,Non-federal student loan,Can't repay my loan,,,Navient,TX,77302,Referral,6/11/15,Closed with explanation,Yes,,1411283,1
6/8/15,Student loan,Non-federal student loan,Can't repay my loan,,Company chooses not to provide a public response,Wells Fargo,FL,33578,Web,6/8/15,Closed with explanation,Yes,,1411651,1
6/7/15,Student loan,Non-federal student loan,Can't repay my loan,,,PNC Bank,PA,150XX,Web,6/8/15,Closed with explanation,Yes,Yes,1409863,1
6/6/15,Student loan,Non-federal student loan,Can't repay my loan,,,Navient,FL,329XX,Web,6/7/15,Closed with explanation,Yes,Yes,1409638,1
6/5/15,Student loan,Non-federal student loan,Can't repay my loan,,,Navient,NY,117XX,Web,6/5/15,Closed with explanation,Yes,Yes,1408696,1
6/5/15,Student loan,Non-federal student loan,Can't repay my loan,,,Navient,GA,30349,Web,6/9/15,Closed with explanation,Yes,Yes,1407362,1
6/5/15,Student loan,Non-federal student loan,Can't repay my loan,"I am submitting a complaint against Genesis Lending Services, They have been charging me during school and even when I was unemployed. I seek to discharge this loan due to the fact I never received any job placement and etc. ",Company believes complaint caused principally by actions of third party outside the control or direction of the company,Genesis Lending,MI,484XX,Web,6/6/15,Closed with explanation,Yes,,1409236,1
6/5/15,Student loan,Non-federal student loan,Can't repay my loan,,,Texas Higher Education Coordinating Board,TX,78704,Web,6/5/15,Closed with explanation,Yes,,1407341,1
6/4/15,Student loan,Non-federal student loan,Can't repay my loan,,Company chooses not to provide a public response,"Financial Asset Management Systems, Inc.",NH,3102,Web,6/8/15,Closed with explanation,Yes,,1405728,1
6/4/15,Student loan,Non-federal student loan,Can't repay my loan,,,JPMorgan Chase,WA,985XX,Web,6/4/15,Closed with explanation,Yes,Yes,1405636,1
6/4/15,Student loan,Non-federal student loan,Can't repay my loan,,,Higher Education Student Assistance Authority (HESAA),NJ,8857,Web,6/4/15,Closed with explanation,Yes,,1406928,1
6/4/15,Student loan,Non-federal student loan,Can't repay my loan,,,Navient,MS,39209,Web,6/4/15,Closed with explanation,Yes,Yes,1405448,1
6/3/15,Student loan,Non-federal student loan,Can't repay my loan,,Company chooses not to provide a public response,Wells Fargo,NY,14559,Web,6/3/15,Closed with explanation,Yes,,1405070,1
6/3/15,Student loan,Non-federal student loan,Can't repay my loan,,,JPMorgan Chase,TX,773XX,Web,6/3/15,Closed with explanation,Yes,,1403414,1
6/3/15,Student loan,Non-federal student loan,Can't repay my loan,,,Navient,FL,32050,Web,6/3/15,Closed with explanation,Yes,,1404998,1
6/3/15,Student loan,Non-federal student loan,Can't repay my loan,,,JPMorgan Chase,DC,200XX,Web,6/3/15,Closed with explanation,Yes,,1404451,1
6/3/15,Student loan,Non-federal student loan,Can't repay my loan,"I 've called numerous times to try to get a payment plan set up and every time they send me to someone else or tell me there is n't nothing they can do, I currently have very limited income and so does my co-signer. I understand that I took out the loans and I want to pay them back but I 'm currently having a bit of trouble. I thought I 'd be ending college with a degree and a job instead I was XXXX on my campus and my grades suffered afterwards I went from deans list to academic suspension, I tried to get my grades up but without funding I was unable to rejoin school, now I 'm struggling to get back on my feet and Sallie Mae as made it impossible to work with them to figure out a plan until I can get a better job to pay more. ",Company believes it acted appropriately as authorized by contract or law,Sallie Mae,SC,297XX,Web,6/3/15,Closed with explanation,Yes,,1404910,1
6/3/15,Student loan,Non-federal student loan,Can't repay my loan,,,Citibank,WI,53222,Phone,6/5/15,Closed with explanation,Yes,,1405022,1
6/3/15,Student loan,Non-federal student loan,Can't repay my loan,,,Navient,VA,245XX,Web,6/3/15,Closed with explanation,Yes,,1403260,1
6/3/15,Student loan,Non-federal student loan,Can't repay my loan,,Company chooses not to provide a public response,Wells Fargo,MN,55311,Referral,6/5/15,Closed with explanation,Yes,,1404299,1
6/2/15,Student loan,Non-federal student loan,Can't repay my loan,,Company chooses not to provide a public response,U.S. Bancorp,MN,55311,Referral,6/4/15,Closed with explanation,Yes,,1403241,1
6/2/15,Student loan,Non-federal student loan,Can't repay my loan,"I took out this loan a long time ago when I was working on my XXXX degree. I recently about a XXXX ago finished my XXXX Degree. I have a private student loan with Wells Fargo. I explained to them that as of right now the XXXX dollar monthly payment would not be feasible due to unexpected expenses that came up. They offered me a XXXX month forbearance which they went back and forth people telling me different things and I think I received XXXX month forbearance. I asked if there is anyway to get my payment lowered for a while because I definitely want to make my payments but I just ca n't afford what it is set at now. They said no there is nothing that they can do to help me, they can not lower the payment and that I just have to deal with my payment amount and make my payment. I ca n't believe that there is no help for me whatsoever. Is there anyone out there that can help me? Wells Fargo never wants to help you, it is always your fault, I just need it lowered for a while so that way I can make the payments on time. Please let me know if there is any help. ",Company chooses not to provide a public response,Wells Fargo,IN,468XX,Web,6/2/15,Closed with explanation,Yes,,1402041,1
6/2/15,Student loan,Non-federal student loan,Can't repay my loan,XXXX from the University of XXXX in XX/XX/XXXX. In XX/XX/XXXX I was diagnosed with a XXXX. Working as a regional airline pilot during time of medical leave we are not paid. During this time I was unable to pay my extremely high student loan payment of {$1000.00} a month. After contacting the lender they offered no assistance with lowering or modifying the payment to become affordable while on medical leave. With this the loan went into a state of past due and has damaged my credit to the point where I can not get approved for other consolidation loans to fix this issue. Wellsfargo also stated that I can not receive a loan modification because my co signer and myself still meet the requirements for a loan with them. However we were recently denied a request for a new consolidation loan with them. Making less than {$20000.00} a year a minimum payment of {$1000.00} should be restricted. ,Company chooses not to provide a public response,Wells Fargo,IL,605XX,Web,6/2/15,Closed with explanation,Yes,,1401947,1
6/2/15,Student loan,Non-federal student loan,Can't repay my loan,,,Navient,CA,92082,Web,6/2/15,Closed with explanation,Yes,,1403006,1
6/2/15,Student loan,Non-federal student loan,Can't repay my loan,,,Navient,CA,90004,Web,6/3/15,Closed with explanation,Yes,Yes,1403028,1
6/2/15,Student loan,Non-federal student loan,Can't repay my loan,,,Navient,PA,174XX,Web,6/2/15,Closed with explanation,Yes,,1401359,1
6/1/15,Student loan,Non-federal student loan,Can't repay my loan,"My son attended XXXX XXXX and received private loans from Wells Fargo in addition to Federal loans. Wells Fargo carries the majority of his loans. My complaint is the interest rates these banks charge. I am the co-signer on these loans as well. I believe in paying your student loans, however, I have a problem when I am seeing interest rates of 10.74 %, 6.991 %, 6.490 %, and even 4.490 %. The banks are making way too much money on these student loans and make no attempt to lower these interest rates. I understand banks having to make money, but really??? 10.74 % interest rate!! That seems like gauging to me. I am working with my son now to get these all refinanced into XXXX loan with a better interest rate, but again, the interest that he has been charged over the past 4 years is outrages. ",Company chooses not to provide a public response,Wells Fargo,WI,535XX,Web,6/3/15,Closed with explanation,Yes,,1399407,1
6/1/15,Student loan,Non-federal student loan,Can't repay my loan,,,Higher Education Student Assistance Authority (HESAA),NJ,082XX,Web,6/4/15,Closed with explanation,Yes,,1401802,1
6/1/15,Student loan,Non-federal student loan,Can't repay my loan,,,ACS Education Services,CA,950XX,Web,6/2/15,Closed with explanation,Yes,Yes,1401794,1
5/31/15,Student loan,Non-federal student loan,Can't repay my loan,,,Higher Education Student Assistance Authority (HESAA),PA,191XX,Web,5/31/15,Closed with explanation,Yes,,1399382,1
5/30/15,Student loan,Non-federal student loan,Can't repay my loan,,,Navient,NY,117XX,Web,5/30/15,Closed with explanation,Yes,,1398905,1
5/30/15,Student loan,Non-federal student loan,Can't repay my loan,,,Navient,FL,322XX,Web,6/10/15,Closed with explanation,Yes,,1399133,1
5/29/15,Student loan,Non-federal student loan,Can't repay my loan,,,Navient,NC,28403,Web,5/29/15,Closed with explanation,Yes,Yes,1398037,1
5/29/15,Student loan,Non-federal student loan,Can't repay my loan,,Company believes it acted appropriately as authorized by contract or law,Sallie Mae,PA,19148,Web,5/30/15,Closed with explanation,Yes,,1398964,1
5/28/15,Student loan,Non-federal student loan,Can't repay my loan,,,Navient,NC,280XX,Web,5/28/15,Closed with explanation,Yes,,1395576,1
5/28/15,Student loan,Non-federal student loan,Can't repay my loan,,,Navient,NY,11704,Web,5/28/15,Closed with explanation,Yes,,1395152,1
5/28/15,Student loan,Non-federal student loan,Can't repay my loan,"I have both Federal and private loans ; fortunately, the income-based repayment for the federal loans requires a reasonable payment ( XXXX-time ever I am grateful for a XXXX ), but the private loan will not consider the fact that with its MASSIVE payment requirement, over half of my monthly salary goes towards student loans. It is crippling and because of the amount of loans in the XXXX place, they will not approve me for a consolidation or refinancing in order to lower the payment. They have absolutely no options for people who are being suffocated by student loans, and let 's face it, the education industry is n't exactly going to yield XXXX. ",Company chooses not to provide a public response,Wells Fargo,SC,296XX,Web,5/28/15,Closed with explanation,Yes,,1396703,1
5/28/15,Student loan,Non-federal student loan,Can't repay my loan,,,Navient,MI,480XX,Web,5/29/15,Closed with explanation,Yes,,1397392,1
5/28/15,Student loan,Non-federal student loan,Can't repay my loan,,,Navient,IN,462XX,Web,5/28/15,Closed with explanation,Yes,,1396743,1
5/27/15,Student loan,Non-federal student loan,Can't repay my loan,,,Navient,ME,3906,Web,5/27/15,Closed with explanation,Yes,,1393777,1
5/27/15,Student loan,Non-federal student loan,Can't repay my loan,,,Navient,NY,113XX,Web,5/27/15,Closed with explanation,Yes,,1393058,1
5/27/15,Student loan,Non-federal student loan,Can't repay my loan,,,Navient,NJ,7036,Web,5/27/15,Closed with explanation,Yes,,1394851,1
5/27/15,Student loan,Non-federal student loan,Can't repay my loan,,,"National Enterprise Systems, Inc.",MI,480XX,Web,6/1/15,Closed with explanation,Yes,,1395147,1
5/26/15,Student loan,Non-federal student loan,Can't repay my loan,"Wells Fargo has been contacting me to collect a payment for a private student loan I received when I attended XXXX XXXX University in XXXX XXXX, XXXX from XXXX to XXXX. I have discussed with debt collection reps that I am currently unemployed and can not make a payment at this time. I was able to defer my loan with in-school deferment while I attended University XXXX XXXX in XXXX to the end of XXXX for XXXX studies. But I am longer attending that school. I have applied to XXXX XXXX XXXX XXXX University and have been accepted for their XXXX XXXX XXXX XXXX Program for the XXXX XXXX. I will register for classes XXXX. I do not have any family members or friends who can help me make this payment or any payments for this loan. I have already asked family members to help me pay off my credit card debt and they are struggling to pay their own bills. ",Company chooses not to provide a public response,Wells Fargo,MO,630XX,Web,5/26/15,Closed with explanation,Yes,Yes,1392514,1
5/26/15,Student loan,Non-federal student loan,Can't repay my loan,,,Navient,OR,974XX,Web,5/26/15,Closed with explanation,Yes,,1391919,1
5/26/15,Student loan,Non-federal student loan,Can't repay my loan,,,Tuition Options LLC,MA,1453,Web,5/26/15,Closed with explanation,Yes,,1391536,1
5/24/15,Student loan,Non-federal student loan,Can't repay my loan,,,Citibank,NM,871XX,Web,5/24/15,Closed with explanation,Yes,Yes,1390507,1
5/24/15,Student loan,Non-federal student loan,Can't repay my loan,"My private XXXX loan was sold for pennies on the dollar to a predatory collection agency named Capital Management Services operating out of XXXX, NY. My mom co-signed this loan, which has a balance of XXXX back in XXXX or XXXX. My mom received a call on XXXX XXXX XXXX, XXXX asking for personal information and money. She called me and I called this predatory agency back on the same day around XXXX XXXX. The woman I spoke with was very intimidating ( I 'm sure they are trained in bullying consumers XXXX. I was told I had XXXX options to pay this loan or they would go after my XXXX year old mother and did I want that to happen? By the way, I was never told what the XXXX payment option was. To make matters worse, I am having financial difficulties, which I explained to the bully on the phone. I said I could make a {$25.00} payment on XXXX XXXX to prove I was interested in settling this debt. The remaining payments had to be approved by a manager and I was put on hold. I doubt there was any manager approving anything because I never spoke to the supposed manager. REMEMBER-they bought this loan for PENNIES on the dollar, they are a FOR PROFIT collection agency. The girl came back on and said her 'manager ' approved XXXX payments of {$400.00} to settle the debt. I ca n't afford that. I said I could n't afford that much. Again, my MOTHER was brought into the conversation and how she could pay half and WE could call her and explain that this needed to be paid. Scare tactics and bullying AGAIN. So, I agreed to the arrangement and I ca n't afford it. I thought about this arrangement for days and called back on XXXX XXXX XXXX, XXXX to speak with someone who may understand my situation. I thought I could get through to someone who could work with me. I was wrong. The XXXX man I spoke with listened and was cordial. He had to transfer me to someone else. I got transferred to another male. I explained my situation and he listened. He then proceeded to bring up my mother. How she should help because she co-signed and how I needed to get money from her. He asked what I made a year and I said about XXXX and after taxes and insurance it was around $ XXXX every XXXX weeks, not a lot for XXXX VA area. He did n't believe me. I offered to send pay stubs. He said it did n't matter. Again, they bought this loan for pennies on the dollar. He offered a XXXX arrangement of almost {$300.00} a month for XXXX months, no settlement if I lower payments. He bullied me again. I want you to be aware of their predatory practices and that they use scare tactics to make a profit off of your debt. I would be happy to pay monthly if the payments are reasonable. ",Company believes it acted appropriately as authorized by contract or law,"Capital Management Services, LP",VA,222XX,Web,5/29/15,Closed with explanation,Yes,Yes,1390452,1
5/22/15,Student loan,Non-federal student loan,Can't repay my loan,,,AES/PHEAA,OH,43155,Web,5/22/15,Closed with explanation,Yes,,1388973,1
5/22/15,Student loan,Non-federal student loan,Can't repay my loan,,Company believes complaint caused principally by actions of third party outside the control or direction of the company,Genesis Lending,WI,53218,Web,5/23/15,Closed with explanation,Yes,,1390171,1
5/21/15,Student loan,Non-federal student loan,Can't repay my loan,"I have XXXX loans that I borrowed from SallieMae to pay for my education at XXXX University. I signed up for a ten year plan with a fixed {$25.00} per loan monthly plan to decrease my interest for each loan ( a total of {$75.00} a month ). Unfortunately, after I had graduated I have no luck with a full-time job. My finances that I pay each month are medical ( XXXX supplies and visits ), car insurance, phone, food, and soon to be rent. I can barely afford these finances as it is and when I called Salliemae to see what the total for each month would be after my grace period, they had told me about {$700.00} ( not including the government loans ). I had tried XXXX times calling them seeing if I can lower the payment per month, and they provided no helpful answers. They told me the options I have are forbearance which would make my account a delinquent, and only XXXX of my XXXX loans qualified ( the smallest XXXX of course ) for their  graduate payment plan '' which only would bring it down about XXXX dollars. I told them that I am willing to pay a much higher interest for a lower monthly payment which they told me they do n't do. They had mentioned that I could use auto-debit which would decrease my interest by a  whopping '' .25 %. I told them each time I called -they each said the same thing- that I am not interested in lowering the interest but the monthly payments because I can not afford that payment each month. Each time I call I feel they ignore my plea for help on lowering it, even if it means I give them a lot more money in the long run. ",Company believes it acted appropriately as authorized by contract or law,Sallie Mae,IL,605XX,Web,5/21/15,Closed with explanation,Yes,,1387603,1
5/21/15,Student loan,Non-federal student loan,Can't repay my loan,,,Discover,NH,038XX,Web,5/21/15,Closed with explanation,Yes,Yes,1387807,1
5/20/15,Student loan,Non-federal student loan,Can't repay my loan,,,ACS Education Services,MN,55904,Phone,5/20/15,Closed with explanation,Yes,,1384809,1
5/20/15,Student loan,Non-federal student loan,Can't repay my loan,"I XXXX from XXXX XXXX XXXX in XXXX XXXX, MI XXXX in XXXX, 2011. I received a federal student loan & also a student loan through XXXX ( XXXX ). I can not afford the payments for this loan. No one will touch this loan to refinance it because it is through XXXX. They will do absolutely nothing to work with me. In the beginning of XXXX, I called to speak to someone there & phone rep told me that I had 180 days to catch up on my current payment before it would affect my credit. Sure enough, they have reported to the credit bureau that I am behind. I am currently trying to obtain a mortgage & have had a clean credit report for the past XXXX years until now. Because XXXX reported my student loan after telling me that I had 180 days to pay the difference I owed. My credit report states that I am over {$500.00} behind. My monthly payments started out at {$220.00} & approximately 90 days later, they raised the monthly payment to {$340.00} per month. I can only anticipate they will continue to raise it. I currently owe them nearly {$1500.00}. Additionally, XXXX has been XXXX big scam from day XXXX. They did not follow through with the services they promised, such as job placement. I owe nearly {$60000.00} in student loans for an XXXX XXXX. Not to mention, this private loan they conned me into. I am fortunate that I did find a job on my own, however, it does not pay as much as I would like. My wife works part time & has a student loan as well. So we have XXXX total student loans that are close to {$100000.00}. Something has got to give. ",Company disputes the facts presented in the complaint,First Associates Loan Servicing LLC,MI,484XX,Web,5/20/15,Closed with explanation,Yes,,1384841,1
5/20/15,Student loan,Non-federal student loan,Can't repay my loan,,,First Associates Loan Servicing LLC,CA,123XX,Web,5/20/15,Closed with explanation,Yes,,1384933,1
5/20/15,Student loan,Non-federal student loan,Can't repay my loan,,,Navient,NY,10031,Postal mail,5/26/15,Closed with explanation,Yes,,1385035,1
5/20/15,Student loan,Non-federal student loan,Can't repay my loan,"In 2011 I register to XXXX XXXX in XXXX Michigan, I was told when I was in school and pay the monthly amount of around XXXX $ that my payment will be lower after I graduated. I graduated and after 6 months someone from XXXX XXXX called me and request that my monthly payment would be XXXX {$.00} I never got a job with what I graduated for and hardly making the payment of my loan.I tried putting my federal loan in deferment for two years now. I do n't want my credit to be damage. I 'm just hopeless. ",Company believes complaint caused principally by actions of third party outside the control or direction of the company,Genesis Lending,MI,481XX,Web,5/26/15,Closed with explanation,Yes,,1385105,1
5/20/15,Student loan,Non-federal student loan,Can't repay my loan,,,Navient,NC,27616,Web,5/20/15,Closed with explanation,Yes,,1384759,1
5/20/15,Student loan,Non-federal student loan,Can't repay my loan,,,AES/PHEAA,IL,606XX,Web,5/20/15,Closed with explanation,Yes,,1384423,1
5/20/15,Student loan,Non-federal student loan,Can't repay my loan,,Company believes complaint caused principally by actions of third party outside the control or direction of the company,Genesis Lending,FL,33982,Web,5/20/15,Closed with explanation,Yes,,1384819,1
5/20/15,Student loan,Non-federal student loan,Can't repay my loan,,Company believes complaint caused principally by actions of third party outside the control or direction of the company,Genesis Lending,MN,56567,Web,5/20/15,Closed with explanation,Yes,,1385272,1
5/20/15,Student loan,Non-federal student loan,Can't repay my loan,,,Navient,MA,021XX,Web,5/20/15,Closed with explanation,Yes,,1385497,1
5/20/15,Student loan,Non-federal student loan,Can't repay my loan,,,Navient,RI,029XX,Web,5/20/15,Closed with explanation,Yes,Yes,1384782,1
5/19/15,Student loan,Non-federal student loan,Can't repay my loan,,,Higher Education Student Assistance Authority (HESAA),NJ,073XX,Web,5/19/15,Closed with explanation,Yes,,1382218,1
